# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/ellal/genome_analysis/analyses/05_annotation/braker/braker_cleaned.gtf" "-o" "/home/ellal/genome_analysis/analyses/06_expression/read_counts.txt" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam
g16	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	91237;91237;91237;91909;91909;91909;92313;92313;92313;92524;92524;92524;93011;93011;93249;93249;93505;93505;93966;93966;94261;94261;94919;94919;95436;95436;95868;95868;96108;96108;96318;96321	91372;91372;91372;92041;92041;92041;92384;92384;92384;92671;92667;92667;93082;93082;93308;93308;93602;93602;94103;94103;94602;94602;95313;95313;95531;95531;96019;96019;96146;96146;96345;96345	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1909	1406	739
g17	tig00000001_pilon	104621	104887	-	267	0	0
g18	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	108319;108319;108683;108915;109211;109211;110233;110233;110586;110586;110859;110859;111093;111093;111265;111265;111498;111498;111806;111806	108630;108726;108726;109056;109396;109396;110317;110317;110735;110735;110935;110935;111132;111132;111322;111322;111567;111567;112330;112330	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1741	784	1423
g19	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	113805;113952;114287;114832;115357;115664;115901;116455;116842;117434;117767;118056;118231;118558;119048;119409	113845;114243;114506;114919;115414;115681;116207;116573;116902;117530;117807;118101;118325;118661;119095;119471	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1698	2322	5605
g20	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	122779;123391;125241	123005;124912;125360	+;+;+	1869	207	428
g21	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	126167;127435;127874	126742;127812;128299	-;-;-	1380	534	2371
g22	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	129751;130567;130790;131055;131055;131310;131630;131927;132248;132744;132744	129793;130691;130905;131134;131134;131435;131710;132113;132312;132971;132962	-;-;-;-;-;-;-;-;-;-;-	1051	1212	216
g23	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	133267;135484;137212	133422;135554;137305	-;-;-	321	38	24
g24	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	137846;137846;138024;138024;138398;138949	137873;137873;138229;138217;138507;139153	+;+;+;+;+;+	549	287	554
g25	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	139190;139190;140070;140070;140271;140271;140582;140582;140751;140751;141026;141026;141428;141428;141872;141872;142081;142081;142280;142280;142534;142534;142746;142746;142902;142902;143347;143347;143584;143584;143833;143833;144196;144196;144631;144631;144884;144884;145174;145174;145417;145422;145631;145653;145892;145892	139376;139376;140121;140121;140330;140330;140606;140606;140836;140836;141137;141137;141490;141490;141891;141891;142178;142178;142308;142308;142565;142565;142793;142793;142962;142962;143444;143444;143679;143679;143930;143930;144305;144305;144717;144717;144990;144990;145268;145268;145461;145461;145744;145744;145944;145944	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1776	2688	5459
g26	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	146419;146419;147162;147162;148111;148111;148430	146652;146652;147863;147863;148962;148243;148962	-;-;-;-;-;-;-	1788	571	317
g27	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	150610;151432;151870;152205;152471;152888;153184;153335;153574	150659;151557;152024;152292;152688;153048;153191;153375;153698	+;+;+;+;+;+;+;+;+	972	350	261
g28	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	157086;157469;157925;158203;158433	157100;157737;158143;158296;158495	-;-;-;-;-	660	27	104
g29	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	158904;159695;159969;160155;160399;161808;162204;162574;162946;163365;163931;164494;164704;164984;165306	159636;159788;159994;160343;160805;161942;162374;162852;163122;163418;164212;164565;164773;165172;165412	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2985	2479	2249
g30	tig00000001_pilon;tig00000001_pilon	165676;166961	165884;167243	+;+	492	0	0
g31	tig00000001_pilon	168322	168639	-	318	0	0
g32	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	170234;170234;170457;170457;170984;170984;173178;173178;173457;173457;173785;173785;174227;174365;174598;174598;175493;175493;175896;175896;176170;176170;176474;176474;176768;176768;176960;176960;177255;177255;177578;177578;177885;177885;178206;178206;178376;178376;178590;178590;178855;178855;179115;179115;179364;179364;179586;179586;179897;179897;180092;180092;180378;180378;180603;180603;180965;180965;181288;181288	170302;170302;170807;170807;172783;172783;173360;173360;173670;173670;174116;174116;174464;174464;174989;174989;175765;175765;176018;176018;176247;176247;176650;176650;176860;176860;177070;177070;177443;177443;177769;177769;178076;178076;178262;178262;178450;178450;178706;178706;178979;178979;179154;179154;179414;179414;179770;179770;179990;179990;180265;180265;180473;180473;180857;180857;181171;181171;181647;181647	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6843	568	335
g33	tig00000001_pilon;tig00000001_pilon	182135;182774	182641;182827	+;+	561	3	0
g34	tig00000001_pilon	186106	186864	+	759	1200	850
g35	tig00000001_pilon	187220	188263	-	1044	29	29
g36	tig00000001_pilon	189414	189635	-	222	0	0
g37	tig00000001_pilon	191174	191656	-	483	4	34
g38	tig00000001_pilon	191916	192278	-	363	0	0
g39	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	192615;192852;193095;193791;194078;194390;194782;195138;195479;196007;196433;196804;197205;197554;197929;198503;198809;199034;199389;199853;200078;200409;200672;201130;201409;201591;202056;202303;202617;202841;203173;203834;204125;204527;204756;205241;205608;205805;206186;206441;206732;207192;207422;207853;208211;208743;209151;209530;209905;210370;210658;211173;211847;212305	192639;192920;193366;193859;194137;194485;194942;195235;195696;196093;196567;196926;197288;197718;198105;198616;198913;199152;199533;199947;200183;200488;200848;201214;201489;201734;202151;202503;202671;202983;203576;203972;204322;204601;204946;205421;205672;205937;206287;206524;206806;207251;207684;207901;208371;208809;209291;209706;210126;210476;210850;211310;211905;213022	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7587	2342	1193
g40	tig00000001_pilon;tig00000001_pilon	214361;214626	214483;214838	-;-	336	119	71
g41	tig00000001_pilon	214914	215603	+	690	15959	2100
g42	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	216850;216850;217106;217106;217364;217364;217612;217612;217914;217914;218073;218073;218428;218428;218619;218619;218867;218867;219045;219045;219403;219403;219616;219616;220139	216966;216966;217194;217194;217452;217452;217652;217652;217949;217949;218165;218165;218521;218521;218683;218683;218939;218939;219137;219137;219492;219492;219662;219694;220316	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1137	692	842
g43	tig00000001_pilon;tig00000001_pilon	220237;220529	220366;220656	+;+	258	0	0
g44	tig00000001_pilon	244221	244709	+	489	15	91
g45	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	252939;253202;253513	253106;253410;253723	+;+;+	588	115	196
g46	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	254706;257136;257647;257707;257887;258377	257086;257227;257652;257724;257995;258686	+;+;+;+;+;+	2916	1590	2318
g47	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	258715;259897;260531;260535;260822;260822;261128;261128;261442;261442	258776;259973;260664;260664;260897;260897;261295;261295;261525;261525	-;-;-;-;-;-;-;-;-;-	601	2090	1502
g48	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	261739;261739;261857;261857;263097;263097;265305;266284	261813;261813;261993;261993;263187;263180;265434;266424	+;+;+;+;+;+;+;+	574	2	5
g49	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	269712;269712;270507;270507;271005;271008;271367;271367;271622;271622;271926;271926;272154;272154	270046;270046;270738;270738;271139;271139;271438;271438;271678;271678;272001;272001;272158;272158	+;+;+;+;+;+;+;+;+;+;+;+;+;+	912	217	52
g50	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	273422;274620;275218;275728	274492;275065;275444;276167	-;-;-;-	2184	6221	61
g51	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	278041;278318;278416;279382;280030	278100;278331;278478;279493;280104	+;+;+;+;+	324	39	9
g52	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	281434;282107;282617	282009;282243;282692	-;-;-	789	2953	3123
g53	tig00000001_pilon;tig00000001_pilon	288443;288919	288774;289021	+;+	435	0	12
g54	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	292793;293393;293616;293969;294268;295805;297757	293029;293492;293677;294169;295246;296865;297759	+;+;+;+;+;+;+	2643	887	342
g55	tig00000001_pilon	301342	301563	-	222	0	8
g56	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	302066;302066;303324;303324;303775;303775;304301;304301;304718;304718;305583	302136;302136;303726;303726;304189;304189;304472;304472;305060;304993;305826	-;-;-;-;-;-;-;-;-;-;-	1648	0	2
g57	tig00000001_pilon;tig00000001_pilon	305660;306410	305922;306488	+;+	342	127	43
g58	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	306527;307163;307654;308014;308196;308421;309250;309599	306692;307386;307734;308073;308258;308439;309287;309604	+;+;+;+;+;+;+;+	657	592	367
g59	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	310750;311027;311933	310821;311281;312259	+;+;+	654	1182	1435
g60	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	314070;314560;314871;315513;315720;316186;316513;316821;317178;317468;317748;317964;318209;318661;318884;319142;319498;319707;320125;320478	314169;314813;314935;315531;315851;316345;316688;316916;317282;317554;317837;318044;318277;318738;318979;319241;319601;319812;320203;320610	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2130	1031	11627
g61	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	322084;322461;322737;322978;323219;326299	322341;322604;322890;323074;323616;326333	-;-;-;-;-;-	1086	535	809
g62	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	331861;332642;332955;333336;333766;334085;334594;335037	332280;332830;333050;333403;333853;334497;334619;335080	+;+;+;+;+;+;+;+	1344	927	182
g63	tig00000001_pilon	335117	336400	+	1284	1005	392
g64	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	338041;339032;340179	338735;340132;340377	-;-;-	1995	4	6
g65	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	343646;343951;344136;344399;344639;344885;345054;345260;345260;345566;345566;345756;345756;345977;345977;346393;346393;346647;346647;347755;347755	343762;344033;344304;344451;344694;345039;345080;345451;345451;345636;345636;345823;345823;346151;346151;346458;346458;346860;346860;347799;347799	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1491	103	238
g66	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	347882;347882;348384;348384;348467;348949;348949;349342;349342;349585;349585	348027;348027;348423;348499;348503;349050;349050;349493;349493;349608;349608	+;+;+;+;+;+;+;+;+;+;+	544	433	1064
g67	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	349933;350202;350824;350977	349946;350260;350882;351282	+;+;+;+	438	31	49
g68	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	351441;351441;352462;352462;352803;352803;353004;353004;353302;353302;353760;353842;353943;354169;354169;354436;354436;354909;354909;355172;355172;355525;355525;355781;355781;356808;356808	351768;351768;352593;352593;352870;352870;353068;353068;353368;353368;353996;353889;353996;354276;354276;354687;354687;354976;354976;355271;355271;355607;355607;356632;356632;357348;357348	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2901	636	577
g69	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	357933;358280;358647;358849;359104;359400;359816;360205;360386	358038;358392;358697;358892;359182;359440;359915;360328;360429	-;-;-;-;-;-;-;-;-	702	435	352
g70	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	361177;361582;361733;362054;362422;362841;363476;364462;364555;364752	361323;361632;361807;362159;362519;363100;363522;364506;364565;365369	+;+;+;+;+;+;+;+;+;+	1458	897	290
g71	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	366216;366530;366832	366329;366679;367350	-;-;-	783	1070	1240
g72	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	369358;369780;370348	369624;370000;370351	+;+;+	492	24	39
g73	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	370585;370929;371186;371762;371977;372229;372434;372686;372902;373210;373439;373672;374276;374493;374928;375173;375463;375831;376225;376398;376476	370659;371042;371381;371850;372057;372323;372504;372776;373019;373305;373487;373862;374350;374630;374978;375356;375599;375896;376294;376419;376482	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2016	1391	309
g74	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	378421;378559;379025;379443;379732;380123;380543;380807;381538	378516;378883;379239;379600;379919;380375;380691;381007;381857	+;+;+;+;+;+;+;+;+	1905	2867	5979
g75	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	384206;384804;385604	384237;385314;386089	+;+;+	1029	14894	3896
g76	tig00000001_pilon	387974	388912	-	939	727	529
g77	tig00000001_pilon;tig00000001_pilon	389837;389975	390436;390436	+;+	600	18	91
